trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,12,-65.89956178228303,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.99}",30,0,-170.8107438938575,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9801}",30,0,-112.59474367488916,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.970299}",20,0,-155.91054738672443,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-52.96982581747303,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9509900498999999}",30,0,-137.75659414911152,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.941480149401}",25,13,-27.97931140895591,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-51.96882379185858,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-142.25786290326434,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,12,-73.48683861208225,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-107.50075234252638,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-157.75354881592256,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-75.3537993362775,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-269.4250246859863,"{0: 10, 1: 0, 2: 2, 3: 3, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-108.1739643632304,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8600583546412884}",30,0,-122.16945743409337,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-40.870912967226005,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-63.38317995164846,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-101.44181658362055,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8261686238355866}",25,0,-96.46565489172734,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
