trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,12,-69.28455315280216,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.66086383400207,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.49777223765014,"{0: 13, 1: 6, 2: 3, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.67581250692221,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-184.1037309411045,"{0: 6, 1: 4, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.6529577570903,"{0: 19, 1: 3, 2: 3, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.18819765705646,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-251.35771361794286,"{0: 11, 1: 3, 2: 5, 3: 2, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,15,-4.458677666753688,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.04186211153885,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-216.82062787173828,"{0: 23, 1: 1, 2: 6, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.207449977473754,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.19477327237988,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,9,-129.83345900889728,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.38616984937016,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.33050208890234,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.38236884098814,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-224.5959499949501,"{0: 19, 1: 1, 2: 4, 3: 2, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.56009364831289,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.07340164411808,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.601171271819496,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-56.5323994409893,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-55.79211949421367,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-269.6785260621556,"{0: 8, 1: 2, 2: 10, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-201.9752732646616,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-209.01312215704087,"{0: 10, 1: 5, 2: 6, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-209.20813629050937,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-185.2956524642021,"{0: 19, 1: 1, 2: 4, 3: 4, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.18899102009615,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-162.8258336594792,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
